District,Candidate,Party,Votes
Dharwad,AZALFARIDA GOUSUSAB RONAD,Independent,330
Dharwad,SHRISHAILAGOUDA GIRIYAPPAGOUDA KAMATAR,Janata Dal  (United),243
Doddaballapur,T.VENKATARAMANAIAH (APPAKARANAHALLI T.VENKATESH),Indian National Congress,38877
Doddaballapur,B MUNEGOWDA,Independent,37430
Doddaballapur,C.CHANNIGAPPA,Janata Dal  (Secular),34628
Doddaballapur,J.NARASHIMASWAMY,Bharatiya Janata Party,32753
Doddaballapur,V.NAGENDRA PRASAD,Karnataka Jantha Paksha,1517
Doddaballapur,PURUSHOTHAMA,Bahujan Samaj Party,1439
Doddaballapur,R CHANDRA THEJASWI,Communist Party of India  (Marxist),984
Doddaballapur,KUMARA,Badavara Shramikara Raitara Congress Party,674
Gadag,H K PATIL,Indian National Congress,70475
Gadag,ANIL PRAKASHBABU MENSINKAI,Badavara Shramikara Raitara Congress Party,36748
Gadag,BIDARUR SHREESHAILAPPA VIRUPAXAPPA,Bharatiya Janata Party,18715
Gadag,S B SANKANNAVAR,Karnataka Jantha Paksha,4808
Gadag,ANDANAYYA GURUPADAYYA KURTAKOTI,Janata Dal  (Secular),1339
Gadag,SATYAPPANAVAR BIMAPPA GONEPPA,Independent,1062
Gadag,SHYAM MOTILALASA BHANDAGE,Shubha Karnataka,845
Gadag,ASHOK MALLAPPA JAVALI,Nationalist Congress Party,761
Gadag,MAHADEV H CHALAVADI,Bahujan Samaj Party,537
Gadag,ABDULMUNAF ABDULSATTAR KHAZI,National People's Party,438
Gadag,MANJUNATH VASANT NEELGUND,Lok Jan Shakti Party,356
Gadag,TIRLAPUR ABDULRAHAMANSAB JANGLISAB,Janata Dal  (United),230
Gandhi Nagar,DINESH GUNDU RAO,Indian National Congress,54968
Gandhi Nagar,P C MOHAN,Bharatiya Janata Party,32361
Gandhi Nagar,V.NAGARAJ,Badavara Shramikara Raitara Congress Party,10875
Gandhi Nagar,SUBHASH BHARANI,Janata Dal  (Secular),7418
Gandhi Nagar,V A PUGAZHENDI,All India Anna Dravida Munnetra Kazhagam,3197
Gandhi Nagar,B.R.RAVI REDDY,Independent,454
Gandhi Nagar,SOWMYA,Bahujan Samaj Party,441
Gandhi Nagar,NARENDRA JAIN,Samajwadi Party,282
Gandhi Nagar,MOHAN KUMAR,Independent,216
Gandhi Nagar,V M MARIYAPPA,Independent,162
Gandhi Nagar,MURTHY R,Independent,143
Gandhi Nagar,M ANANDAN,Janata Dal  (United),115
Gandhi Nagar,K PRASANNA,National People's Party,113
Gandhi Nagar,GHOUSE MOHIDDEN,Independent,83
Gangawati,IQBAL ANSARI,Janata Dal  (Secular),60303
Gangawati,PARANNA ESHWARAPPA MUNAVALLI,Bharatiya Janata Party,30514
Gangawati,H. R. SRINATH,Indian National Congress,20248
Gangawati,BASAVARAJ PATIL ANVARI,Karnataka Jantha Paksha,7058
Gangawati,PAMPANAGOWDRU POLICE PATEL,Badavara Shramikara Raitara Congress Party,3015
Gangawati,SHARANABASAPPA.S PAN SHOP,Independent,1642
Gangawati,BHARADVAJ SUBBARAO,Communist Party of India  (Marxist-Leninist)  (Liberation),971
Gangawati,VIJAYAKUMAR.J,Pyramid Party of India,843
Gangawati,HULUGAPPA DEVERAMANI,Bahujan Samaj Party,749
Gauribidanur,N H SHIVASHANKARA REDDY,Indian National Congress,49831
Gauribidanur,K JAIPALA REDDY,Independent,44058
Gauribidanur,N M RAVINARAYANA REDDY,Bharatiya Janata Party,31837
Gauribidanur,S V ASHWATHANARAYANA REDDY,Janata Dal  (Secular),11578
Gauribidanur,K SOMASHEKAR,Badavara Shramikara Raitara Congress Party,3526
Gauribidanur,MURALIDAR P S,Karnataka Jantha Paksha,1735
Gauribidanur,SYED ABHUL KHASIM,Independent,1702
Gauribidanur,M RAMAKRISHNAIAH,Pyramid Party of India,1105
Gauribidanur,RAJASHEKAR MADIGA,Bahujan Samaj Party,956
Gauribidanur,H ANANDA KUMARA,Independent,875
Gauribidanur,C C ASHWATHAPPA,Communist Party of India  (Marxist),709
Gauribidanur,G N RAVI,Independent,424
Gauribidanur,H N RAMAKRISHNA REDDY,Independent,399
Gauribidanur,N H SHIVASHANKARA REDDY,Independent,305
Gauribidanur,K V SADASHIVAIAH,Janata Dal  (United),237
Gauribidanur,SREERAMA REDDY,Independent,215
Gokak,JARKIHOLI RAMESH LAXMANRAO,Indian National Congress,79175
Gokak,ASHOK NINGAYYASWAMI PUJARI,Janata Dal  (Secular),51170
Gokak,UMESH ADIVEPPA NIRWANI,Karnataka Jantha Paksha,4366
Gokak,VASUDEV MAHADEVAPPA SAVATIKAI,Bharatiya Janata Party,4293
Gokak,HALAPPA KALLAPPA VANAGOL,Independent,2047
Gokak,BHIMASHI JARKIHOLI,Independent,1831
Gokak,BHIMAPPA SIDDAPPA NAIK,Independent,542
Gokak,BASAVANNI NINGAPPA KAMBAR,Badavara Shramikara Raitara Congress Party,457
Gokak,RESHMA BABURAO SAMBREKAR,Sarva Janata Party,446
Govindraj Nagar,PRIYAKRISHNA,Indian National Congress,72654
Govindraj Nagar,H. RAVINDRA,Bharatiya Janata Party,30194
Govindraj Nagar,T.M. RANGE GOWDA,Janata Dal  (Secular),20662
Govindraj Nagar,P. DODDAIAH,Karnataka Jantha Paksha,5227
Govindraj Nagar,HARISH. K,Independent,598
Govindraj Nagar,MAHESH. R,Independent,511
Govindraj Nagar,K. RAJASHEKAR,Badavara Shramikara Raitara Congress Party,499
Govindraj Nagar,RAVINDRA,Independent,324
Govindraj Nagar,B.S. VIJAYAKUMAR,Sarva Janata Party,313
Govindraj Nagar,ABHIMANI NARENDRA,Independent,255
Gubbi,S R SHRINIVAS (VASU),Janata Dal  (Secular),58783
Gubbi,G.N. BETTASWAMY,Karnataka Jantha Paksha,51539
Gubbi,HONNAGIRIGOWDA,Indian National Congress,18548
Gubbi,NATARAJA SAGARANAHALLY,Bharatiya Janata Party,2396
Gubbi,G.K. HUCCHEGOWDA,Badavara Shramikara Raitara Congress Party,2233
Gubbi,BETTASWAMY,Independent,1798
Gubbi,H M UMESH,Janata Dal  (United),767
Gubbi,A R SRINIVASAMURTHY,Independent,669
Gubbi,SHIVANNA MARANAHALLY,Bahujan Samaj Party,583
Gubbi,LOKESH  P.C,Independent,569
Gubbi,H.S.MALLIKARJUNAIAH,Independent,545
Gubbi,GIRIYAPPA H.H,Independent,483
Gubbi,C P VIJAYAKUMAR CHELURU,Independent,426
Gubbi,RAJANIKANTH B R,Independent,320
Gulbarga Dakshin,DATTATRAYA C. PATIL REVOOR (APPU GOUDA),Bharatiya Janata Party,36850
Gulbarga Dakshin,SHASHIL.G.NAMOSHI,Janata Dal  (Secular),26880
Gulbarga Dakshin,KAILASH VEERENDRA PATIL,Indian National Congress,22074
Gulbarga Dakshin,S.K.KANTA,Karnataka Jantha Paksha,22065
Gulbarga Dakshin,VASUDEV RAO BHEEMRAO,Bahujan Samaj Party,1444
Gulbarga Dakshin,POOJARI DHARMAVEER S. PATTAN,Independent,708
Gulbarga Dakshin,DINAKAR RAO NARAYAN RAO KULKARNI,Independent,591
Gulbarga Dakshin,R.D.KATTIMANI,Samajwadi Janata Party(Karnataka),578
Gulbarga Dakshin,GURUSHANT PATTEDAR,Independent,558
Gulbarga Dakshin,VENKATESH DOREPALLI,Independent,555
Gulbarga Dakshin,MAHAMD JAKEER HUSEN (BADEBAHI),Independent,534
Gulbarga Dakshin,BASAVARAJ CHINCHOLLI,Independent,463
Gulbarga Dakshin,V. NAGAMMAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),418
Gulbarga Dakshin,ABDUL HAMEED QURESHI,Indian Union Muslim League,379
Gulbarga Dakshin,GURUDEVAPPA S. NARONI,Independent,375
Gulbarga Dakshin,ABDUL WAHAB KHAN,Independent,351
Gulbarga Dakshin,SYAD USMAN PASHA,Independent,348
Gulbarga Dakshin,VINOD KUMAR ANAVARKAR,Independent,297
Gulbarga Dakshin,SHASHIKANTH R.DIKSHITH,Independent,296
Gulbarga Dakshin,SANDEEP. S. PATIL,Independent,292
Gulbarga Dakshin,HANMANTHRAYA.M.PUJARI,Independent,278
Gulbarga Dakshin,KARIKAL SANJEEV KUMAR,Independent,233
Gulbarga Dakshin,A. B. HOSMANI,Republican Party of India (A),231
Gulbarga Dakshin,BASHEER ALAM,Indian National League,222
Gulbarga Dakshin,PARVATI JAGANNATH CHAVAN,National Development Party,146
Gulbarga Dakshin,VEERESH G.RATHOD (ISHWAR),All India Forward Bloc  (Subhasist),137
Gulbarga Rural,G.RAMKRISHNA,Indian National Congress,40075
Gulbarga Rural,REVUNAYAK BELAMGI,Bharatiya Janata Party,32857
Gulbarga Rural,BABURAO CHAUHAN,Karnataka Jantha Paksha,26612
Gulbarga Rural,D.G.SAGAR,Janata Dal  (Secular),8612
Gulbarga Rural,AMBALGI MARUTI MANPADE,Communist Party of India  (Marxist),4694
Gulbarga Rural,BABUHONNA NAIK,Badavara Shramikara Raitara Congress Party,2113
Gulbarga Rural,NIGANNA S. JAMBAGI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1673
Gulbarga Rural,AMBARAYA S.BELAMGI,Bahujan Samaj Party,1584
Gulbarga Rural,SATISH BASAVARAJ SHINDE,Independent,1426
Gulbarga Rural,T.N.RATHOD,Independent,805
Gulbarga Rural,MASTAN C.DANDE,Republican Party of India (A),693
Gulbarga Rural,LAXMAN KISHAN RATHOD,Bharatiya Peoples Party,612
Gulbarga Rural,NAGENDRAPPA HANMANTH VADDAR NANDIKUR,Independent,589
Gulbarga Rural,SHIVASHARANPPA,Independent,556
Gulbarga Rural,GOPINATH GHANU,Independent,508
Gulbarga Uttar,QAMAR UL ISLAM,Indian National Congress,50498
Gulbarga Uttar,NASIR HUSSAIN USTAD,Karnataka Jantha Paksha,30377
Gulbarga Uttar,RAJGOPAL REDDY,Bharatiya Janata Party,18642
Gulbarga Uttar,SYED ZAFAR HUSSAIN,Janata Dal  (Secular),1189
Gulbarga Uttar,SYEDA RAZIYA BEGUM,Independent,764
Gulbarga Uttar,ABDUL RAHEEM PATEL,SOCIAL DEMOCRATIC PARTY OF INDIA,654
Gulbarga Uttar,ABDUL HAMEED FARAAN,Welfare Party Of India,572
Gulbarga Uttar,SHAMALA,Independent,420
Gulbarga Uttar,PRAKASH K.SUTAR,Independent,397
Gulbarga Uttar,KALYANRAO AMBALGI,Badavara Shramikara Raitara Congress Party,339
Gulbarga Uttar,VASANT,Independent,330
Gulbarga Uttar,DATTATRAYA CHOWDHARY,Janata Dal  (United),296
Gulbarga Uttar,MD NOOH,Indian Union Muslim League,193
Gulbarga Uttar,SHAUKAT ALI,Samajwadi Party,167
Gundlupet,H.S. MAHADEVA PRASAD,Indian National Congress,73723
Gundlupet,C.S. NIRANJANAKUMAR,Karnataka Jantha Paksha,66048
Gundlupet,NAGENDRA,Bahujan Samaj Party,6052
Gundlupet,B.P. MUDDUMALLU,Janata Dal  (Secular),4017
Gundlupet,G.M. GADKAR,Samajwadi Janata Party(Karnataka),3123
Gundlupet,SUBHASH,Independent,3041
Gundlupet,H.G. MALLIKARJUNASWAMY,Bharatiya Janata Party,1989
Gundlupet,P. SANGHASENA,Republican Party of India (A),1588
Gundlupet,MARIDASAIAH,Independent,1546
Gundlupet,SURESHA,Badavara Shramikara Raitara Congress Party,1199
Gurmitkal,BABURAO CHINCHANASOOR,Indian National Congress,36051
Gurmitkal,NAGANA GOUDA KANDAKURA,Janata Dal  (Secular),34401
Gurmitkal,VENKATAREDDY VISHWANATHREDDY MUDNAL,Karnataka Jantha Paksha,32362
Gurmitkal,GIRISH MATTENNAVAR,Bharatiya Janata Party,9795
Gurmitkal,SHAIK MEHABOOB,Independent,4432
Gurmitkal,BABU CHAVHAN,Badavara Shramikara Raitara Congress Party,1860
Gurmitkal,SATHYANARAYANA YADAV,Samajwadi Party,1277
Gurmitkal,SHIVALINGAPPA KINNURA,Bahujan Samaj Party,1211
Gurmitkal,ANILKUMAR,Independent,1120
Gurmitkal,SABANNA,Independent,1087
Gurmitkal,KRISHNA BHIMARAO BADIGERA,Independent,953
Gurmitkal,MALLIKARJUN M.KANTIMANI,Independent,895
Gurmitkal,SHALINI LOUIS KORI,Independent,824
Gurmitkal,SANJIVKUMAR,Karnataka Makkala Paksha,804
Gurmitkal,CHANDRASHEKHAR,Independent,698
Gurmitkal,DR. DEVANAND KOLI,Lok Jan Shakti Party,645
Gurmitkal,P.KANNAYYA,Independent,615
Hadagalli,P.T.PARAMESHWARANAIK,Indian National Congress,59336
Hadagalli,B.CHANDRANAIK,Bharatiya Janata Party,18526
Hadagalli,MADHUNAIK L,Karnataka Jantha Paksha,18178
Hadagalli,HEMANHTKUMAR BHARATI,Badavara Shramikara Raitara Congress Party,10300
Hadagalli,DR.L.P.NAIK KATARI,Janata Dal  (Secular),3861
Hadagalli,HARISH KUMAR V,Independent,2098
Hadagalli,K.UCHHENGAPPA,Bahujan Samaj Party,1113
Hadagalli,B.J.RAGHAVENDRANAIK,Communist Party of India  (Marxist-Leninist)  (Liberation),927
Hadagalli,A.K.HONNURAPPA,Ambedkar National Congress,885
Hadagalli,RAMANAJANEYA .T,Independent,875
Hagaribommanahalli,BHEEMANAIK LBP,Janata Dal  (Secular),51972
Hagaribommanahalli,K NEMARAJA NAIK,Bharatiya Janata Party,51847
Hagaribommanahalli,MARENNA L,Indian National Congress,23860
Hagaribommanahalli,DODDA RAMANNA,Karnataka Jantha Paksha,5836
Hagaribommanahalli,EKAMBRESH NAIK,Badavara Shramikara Raitara Congress Party,2555
Hagaribommanahalli,MOHAN DASARI,Independent,1963
Hagaribommanahalli,RAVIKUMAR V,Independent,1522
Hagaribommanahalli,MANASVI,Independent,1071
Hagaribommanahalli,NAGARAJA V,Bahujan Samaj Party,1017
Hagaribommanahalli,AROGYA SWAMY B,Janata Dal  (United),860
Hagaribommanahalli,BHEEMAPPA POOJARA,Independent,727
Hagaribommanahalli,V PAVANA KUMARA,Independent,598
Hagaribommanahalli,H GOPALA,Independent,502
Hagaribommanahalli,KOTRESHAPPA M,Ambedkar National Congress,496
Haliyal,DESHPANDE. R. V.,Indian National Congress,55005
Haliyal,SUNIL  HEGADE,Janata Dal  (Secular),49066
Haliyal,DHULI RAJU,Bharatiya Janata Party,7844
Haliyal,RAVI REDKAR,Karnataka Jantha Paksha,2356
Haliyal,SHIVANAND. B. GAGGARI,Independent,1547
Haliyal,V. B. RAMACHANDRA,Independent,954
Haliyal,CHOUGULA. SANJEEVKUMAR,Badavara Shramikara Raitara Congress Party,709
Haliyal,M. R. MEGHARAJ,Bahujan Samaj Party,615
Haliyal,JAHANGIR KHAN BABAKHAN,Independent,580
Haliyal,PREMANAND V.  GAVAS,Independent,469
Haliyal,CHANDRAKANT SUBAS KADROLLI,Independent,334
Haliyal,ELIYA  KATI,Independent,261
Haliyal,INDIRA NIMBAL,Independent,253
Haliyal,UDAY BABU KHALWADEKAR,Independent,157
Hangal,MANOHAR H. TAHASHILDAR,Indian National Congress,66324
Hangal,UDASI C.M,Karnataka Jantha Paksha,60638
Hangal,BASAVARAJ HADIMANI,Bharatiya Janata Party,7052
Hangal,MOHANKUMAR B.K.,Janata Dal  (Secular),4723
Hangal,SHIDDAPPA KALLAPPA PUJAR,Independent,2834
Hangal,RAMU H. YALLURA,Independent,2015
Hangal,LAMANI KRISHNA VACHAPPA,Bahujan Samaj Party,809
Hanur,R.NARENDRA,Indian National Congress,55684
Hanur,PARIMALA NAGAPPA,Janata Dal  (Secular),44135
Hanur,S.DATTESH KUMAR,Independent,13258
Hanur,PONNACHI MAHADEVASWAMY,Karnataka Jantha Paksha,11629
Hanur,S.PUTTARAJU,Bahujan Samaj Party,2981
Hanur,M.RAVI,All India Anna Dravida Munnetra Kazhagam,2370
Hanur,SIDDAPPA. R,Independent,2369
Hanur,B.K.SHIVAKUMAR,Bharatiya Janata Party,1323
Hanur,K.NAGARAJU,Independent,1076
Hanur,MAHADEVASWAMY C.M,Independent,1018
Hanur,S.GANGADHARA,Janata Dal  (United),827
Hanur,BEERESH,Badavara Shramikara Raitara Congress Party,674
Hanur,M.PRADEEPKUMAR,Independent,508
Harapanahalli,M P RAVINDRA,Indian National Congress,56954
Harapanahalli,G KARUNAKARAREDDY,Bharatiya Janata Party,48548
Harapanahalli,N KOTRESH,Karnataka Jantha Paksha,27997
Harapanahalli,SIRAJ SHEIKH,Badavara Shramikara Raitara Congress Party,9687
Harapanahalli,A G VISWANATH,Janata Dal  (Secular),2294
Harapanahalli,RUDRESHA K H,Independent,1279
Harapanahalli,KENCHAPPA,Bahujan Samaj Party,933
Harapanahalli,IDLI RAMAPPA,Communist Party of India  (Marxist-Leninist)  (Liberation),831
Harapanahalli,CHAITHRA G,Independent,430
Harapanahalli,MANSOOR BASHA R,Independent,422
Harapanahalli,ABUBAKKAR SIDDIQ M,Independent,348
Harapanahalli,CHANNAPPA,Independent,276
Harapanahalli,GOWALER ERANNA,Independent,224
Harihar,H.S. SHIVASHANKAR,Janata Dal  (Secular),59666
Harihar,S.RAMAPPA,Indian National Congress,40613
Harihar,HARISH B.P.,Karnataka Jantha Paksha,37786
Harihar,S.M. VEERESHA HANAGAVADI,Bharatiya Janata Party,5959
Harihar,H. NAGARAJ PALEGAR,Bharatiya Praja Paksha,1479
Harihar,B.P. HARISHA,Independent,933
Harihar,P.B. BEERAPPA,Janata Dal  (United),747
Harihar,S. K. BASAVARAJ,Badavara Shramikara Raitara Congress Party,736
Harihar,V.T. BASAVARAJA,Nationalist Congress Party,632
Harihar,BEERAPPA RAJANAHALLI,Communist Party of India  (Marxist-Leninist)  (Liberation),551
Harihar,ANSAR AHAMED,Independent,511
Harihar,E. RAZAQ ULLA MASADI,Bahujan Samaj Party,358
Harihar,M. CHANNAPPA,Independent,287
Harihar,M.G. VEERANA GOWDA,Independent,265
Harihar,T.V. GAJENDRA GOWDA,Independent,220
Hassan,H.S.PRAKASH,Janata Dal  (Secular),61306
Hassan,H.K.MAHESH,Indian National Congress,57110
Hassan,GURUPRASAD @ PICTURE PALACE GURUJI,Bharatiya Janata Party,6083
Hassan,A.P.AHAMAD,Independent,1299
Hassan,HEMAVATHI ANANTHA,Independent,942
Hassan,KODIHALLY CHANDRASHEKAR,Karnataka Rajya Ryota Sangha,901
Hassan,S.A.IBRAHIM (SOOFI),SOCIAL DEMOCRATIC PARTY OF INDIA,771
Hassan,H.S.MANJU (BANGARI),Independent,741
Hassan,SANTOSH.U.R.,Independent,572
Hassan,RAVIKANTH.S.S. GOWDA,Independent,382
Hassan,EJAS AHMED FAROOQI,Bharatiya Republican Paksha,357
Hassan,SALIM KHAN GORUR,Badavara Shramikara Raitara Congress Party,213
Hassan,H.A.NANJE GOWDA  @ ASHOK RANGOLI,Janata Dal  (United),209
Hassan,R.G.SATISH,Bharatiya Praja Paksha,173
Haveri,RUDRAPPA MANAPPA LAMANI,Indian National Congress,83119
Haveri,NEHARU OLEKARA,Karnataka Jantha Paksha,52911
Haveri,DR || MALLESHAPPA HARIJAN,Bharatiya Janata Party,5153
Haveri,MOTILALA.DODDAMANI,Independent,2088
Haveri,KARIYALLAPPA FAKKIRAPPA BHAJANTRI,Badavara Shramikara Raitara Congress Party,2070
Haveri,MEGALAMANI PARAMESHWARA TIPPANNA,Janata Dal  (Secular),1461
Haveri,SANJAYAGANDHI PUTTAPPA SANJEEVANNANAVAR,Independent,1207
Haveri,SHANKARA ALLIPURA,Janata Dal  (United),989
Haveri,DR || SANJAYA DANGE,Independent,839
Haveri,KUNNURA SHANKARAPPA BASAVANNEPPA,Bahujan Samaj Party,632
Hebbal,R. JAGADEESH KUMAR,Bharatiya Janata Party,38162
Hebbal,C.K. ABDUL RAHMAN SHARIEF,Indian National Congress,33026
Hebbal,ABDUL AZEEM,Janata Dal  (Secular),25073
Hebbal,SRIDHAR PABBISETTY,Lok Satta Party,6271
Hebbal,C.MUNIKRISHNA,Karnataka Jantha Paksha,5816
Hebbal,FAKRUDDIN.S,SOCIAL DEMOCRATIC PARTY OF INDIA,1473
Hebbal,HARISH,Independent,721
Hebbal,SHABEER PASHA,Independent,721
Hebbal,NAGARAJA SHETTY,Independent,570
Hebbal,ABDUL BASHEER,Rani Chennamma Party,508
Hebbal,M.MUNIHANUMAIAH,Independent,477
Hebbal,MOHAMMED USMAN SHARIEFF,Independent,335
Hebbal,M.MANJUNATH,Independent,281
Hebbal,UMA LAKSHMI NARAYAN,Independent,264
Hebbal,M.VENKATESHA,Bharatiya Praja Paksha,246
Hebbal,MANJUNATHA.A,Independent,235
Hebbal,DR.PRABHASHANKAR,Mahila Pradhana Paksha,211
Hebbal,CHAND PASHA,Independent,191
Hebbal,NANDIMANDALAM MADHAVA RAJU,Independent,185
Hebbal,SYED MUSTAFA,Independent,183
Hebbal,VINOD.M,Republican Party of India,165
Hebbal,N.K.RAVIKUMAR,Independent,161
Hebbal,R.RAGHU,Independent,152
Hebbal,S.K.DHANARAJ,Independent,113
Heggadadevankote,CHIKKAMADU S,Janata Dal  (Secular),48606
Heggadadevankote,CHIKKANNA,Indian National Congress,36108
Heggadadevankote,SIDDARAJU,Bharatiya Janata Party,31248
Heggadadevankote,J K GOPALA,Bahujan Samaj Party,18269
Heggadadevankote,DR H V KRISHNASWAMY,Karnataka Jantha Paksha,11494
Heggadadevankote,SOMANNA L,Badavara Shramikara Raitara Congress Party,3192
Hirekerur,U. B. BANAKAR,Karnataka Jantha Paksha,52623
Hirekerur,B.C.PATIL,Indian National Congress,50017
Hirekerur,B .H . BANNIKOD,Independent,10579
Hirekerur,H .M.ASHOK,Badavara Shramikara Raitara Congress Party,3399
Hirekerur,PALAKSHAGOUDA.H.PATIL,Bharatiya Janata Party,3177
Hirekerur,SAMPATKUMAR. B .MUTTALLI,Lok Satta Party,2921
Hirekerur,NEELAPPA. M. ITER,Independent,2205
Hirekerur,DHARMARAJ M SALI,Janata Dal  (Secular),1885
Hirekerur,S.S. KUSAGUR,Independent,1701
Hirekerur,P .D. BASANGOUDRA,Independent,1449
Hirekerur,BEVINAHALLI. SIVAPPA. VEERAPPA,Independent,704
Hirekerur,SULEMAN. JAMALSAB .BALIGAR,Bahujan Samaj Party,684
Hirekerur,RAJESH. B. JOLAD,Independent,632
Hirekerur,DADAPEERSAB HONNURSAB KULAMBI,Independent,350
Hirekerur,CHANDRASHEKHAR. V. BARANGI,Independent,337
Hirekerur,MANAKUR MARUTI RANGAPPA,Independent,334
Hiriyur,D.SUDHAKAR,Indian National Congress,71661
Hiriyur,A.KRISHNAPPA,Janata Dal  (Secular),70456
Hiriyur,M.JAYANNA,Badavara Shramikara Raitara Congress Party,6965
Hiriyur,S.SIDDESH YADAV,Bharatiya Janata Party,2880
Hiriyur,M.THIPPESWAMY,Karnataka Jantha Paksha,2570
Hiriyur,C.NATARAJA,Independent,1418
Hiriyur,B.T.SHANTHANNA,Independent,1024
Hiriyur,S.H.KANTHARAJ HULI,Bahujan Samaj Party,1008
Hiriyur,LAKSHMINARASIMHASWAMY.C.K,Independent,524
Hiriyur,RASHEED UNNISA,Independent,415
Hiriyur,RANGASWAMY,Janata Dal  (United),356
Hiriyur,A.ZAKEER HUSSAIN,Independent,314
Hiriyur,K.V.RAGHU,Independent,288
Hiriyur,M.Y.T. MUNEER.,Independent,275
Hiriyur,R.MOHAN KUMAR YADAV,Samajwadi Party,243
Holalkere,H. ANJANEYA,Indian National Congress,76856
Holalkere,M. CHANDRAPPA,Karnataka Jantha Paksha,63992
Holalkere,DEVENDRANAIK H.R.,Bharatiya Janata Party,7595
Holalkere,K.E.B. MAHADEVAPPA,Janata Dal  (Secular),3091
Holalkere,H. SRINIVASA,Badavara Shramikara Raitara Congress Party,2912
Holalkere,CHANDRAPPA,Independent,2264
Holalkere,G. SHANTHAPPA,Independent,1591
Holalkere,T. BASAVARAJAPPA,Ambedkar National Congress,1194
Holalkere,CHANDRAPPA B.S.,Independent,670
Holalkere,G. N. PARAMESH,Bahujan Samaj Party,620
Holalkere,K.G. ANANTHAMURTHYNAIK,Independent,544
Holalkere,YOGAMURTHYNAIK R.,Karnataka Makkala Paksha,488
Holalkere,V. RAMESH HONNAKALUVE,Independent,393
Holalkere,M. G. SATISHA,Samajwadi Party,299
Holalkere,GULIHATTI D. RUDRESH,National People's Party,246
Holalkere,M. H. SHASHIDHARA,Janata Dal  (United),224
Holenarasipur,H.D REVANNA,Janata Dal  (Secular),92713
Holenarasipur,S.G. ANUPAMA,Indian National Congress,62655
Holenarasipur,M.C SHIVANNA,Bahujan Samaj Party,1491
Holenarasipur,G.T HEMANTH KUMAR,Bharatiya Janata Party,1277
Holenarasipur,M.MAHESH ALIAS HARSHA,Independent,1258
Holenarasipur,K.R NARAYANAGOWDA,Independent,817
Holenarasipur,H.L YAMUNA,Karnataka Jantha Paksha,746
Holenarasipur,D.H SATHISHA,Janata Dal  (United),494
Holenarasipur,K.KALENAHALLI KOVI BABANNA,Independent,449
Holenarasipur,SHOBHA,Badavara Shramikara Raitara Congress Party,363
Homnabad,RAJASHEKHAR BASAVARAJ PATIL,Indian National Congress,64694
Homnabad,M. NASEENODDIN PATEL,Janata Dal  (Secular),40194
Homnabad,ANKUSH LINGAPPA CHITTA,Bahujan Samaj Party,8093
Homnabad,PADMAKAR PATIL,Bharatiya Janata Party,6604
Homnabad,MEER ASHREEFALI  MEER SYEDALI,Karnataka Jantha Paksha,5695
Homnabad,BANKREDDY PRABHUREDDY,Badavara Shramikara Raitara Congress Party,5238
Homnabad,RAVIKANTH K. HUGAR,Independent,2076
Homnabad,ISMAIL MAHEBOOBSAB,National People's Party,1164
Homnabad,PARAMESHWAR RAMCHANDRA,Independent,729
Homnabad,NARASAPPA LACHAPPA  MUTTANGI,Independent,601
Homnabad,ASHOK CHANDRAKANT SAGAR,Independent,560
Homnabad,LAXAMAN GURAPPA,Republican Party of India (A),365
Honnali,D. G SHANTANA GOWDA,Indian National Congress,78789
Honnali,M. P. RENUKACHARYA,Karnataka Jantha Paksha,60051
Honnali,DR|| RAJKUMAR H. P,Bharatiya Janata Party,2549
Honnali,ASHA R.PATEL,Sarva Janata Party,1563
Honnali,SAYEDAGOUSE H. P,Independent,1435
Honnali,M. R. MAHESH,Janata Dal  (Secular),1340
Honnali,K. RENUKACHARI,Badavara Shramikara Raitara Congress Party,1030
Honnali,PARASHURAMA A. K,Bahujan Samaj Party,549
Honnali,RAMESH JAGATHAP  D. V,Independent,490
Honnali,DR. D. SEETHA NAIKA,Independent,461
Honnali,DR|| D. B. PRAKASH BASAVANA GOWDA,Independent,329
Honnali,T. L. RANGANATHA,Janata Dal  (United),292
Honnali,M. RANGANATHA SWAMY,Independent,241
Hosadurga,B.G. GOVINDAPPA,Indian National Congress,58010
Hosadurga,GULIHATTI D. SHEKAR,Independent,37993
Hosadurga,S. LINGAMURTHY,Karnataka Jantha Paksha,37717
Hosadurga,M. LAKSHMANA,Bharatiya Janata Party,1866
Hosadurga,K. SHIVANNA,Independent,1190
Hosadurga,THIMMAPPA K.,Bahujan Samaj Party,828
Hosadurga,A. CHITTAPPA YADAV,Samajwadi Party,616
Hosadurga,SUDHABAI MALLESHNAIKA,Janata Dal  (Secular),615
Hosadurga,SYED ISMAIL,Janata Dal  (United),448
Hosadurga,G. GOVINADARAJU,Badavara Shramikara Raitara Congress Party,406
Hosadurga,K. CHANDRAPPA,Independent,314
Hosakote,M.T.B. NAGARAJ,Indian National Congress,85238
Hosakote,B N BACHEGOWDA,Bharatiya Janata Party,78099
Hosakote,V.SRIDHAR,Janata Dal  (Secular),1304
Hosakote,UPENDRA MADIGA,Bahujan Samaj Party,474
Hosakote,A.N.BACHE GOWDA,Independent,280
Hosakote,H.R. SHANKAR,Independent,247
